都道府県,count
北海道,79404
青森県,30723
岩手県,28895
宮城県,39497
秋田県,22621
山形県,24954
福島県,31614
茨城県,57353
栃木県,40394
群馬県,46241
埼玉県,112929
千葉県,100009
東京都,287079
神奈川県,159800
新潟県,62210
富山県,29101
石川県,34108
福井県,25632
山梨県,19107
長野県,52058
岐阜県,37467
静岡県,62833
愛知県,157939
三重県,39969
滋賀県,34237
京都府,54203
大阪府,163745
兵庫県,103747
奈良県,26285
和歌山県,19765
鳥取県,16994
島根県,22067
岡山県,47538
広島県,61549
山口県,26519
徳島県,16060
香川県,23919
愛媛県,24935
高知県,19545
福岡県,115989
佐賀県,22925
長崎県,37811
熊本県,51833
大分県,24986
宮崎県,31471
鹿児島県,41481
沖縄県,54795
