都道府県,count
北海道,586
青森県,159
岩手県,155
宮城県,207
秋田県,112
山形県,97
福島県,227
茨城県,228
栃木県,163
群馬県,168
埼玉県,448
千葉県,395
東京都,803
神奈川県,473
新潟県,230
富山県,78
石川県,89
福井県,82
山梨県,93
長野県,195
岐阜県,185
静岡県,293
愛知県,440
三重県,168
滋賀県,103
京都府,190
大阪府,519
兵庫県,383
奈良県,110
和歌山県,128
鳥取県,58
島根県,97
岡山県,165
広島県,267
山口県,164
徳島県,88
香川県,76
愛媛県,134
高知県,128
福岡県,362
佐賀県,92
長崎県,188
熊本県,171
大分県,130
宮崎県,137
鹿児島県,226
沖縄県,152
