"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","2-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女，年齢（各歳），国籍総数か日本人別人口－全国，都道府県，21大都市，特別区，人口50万以上の市"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","","","","","","","","","/表章事項 コード","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01"
"","","","","","","","","","","","","/表章事項 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","/表章事項","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】","人口【人】"
"","","","","","","","","","","","","/年齢 コード","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015"
"","","","","","","","","","","","","/年齢 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年次） コード","時間軸（年次） 補助コード","時間軸（年次）","国籍総数か日本人 コード","国籍総数か日本人 補助コード","国籍総数か日本人","男女 コード","男女 補助コード","男女","全国～人口50万以上の市 コード","全国～人口50万以上の市 補助コード","全国～人口50万以上の市","/年齢","0歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10歳","11歳","12歳","13歳","14歳"
"2020000000","","2020年","0","","国籍総数","0","","総数","23000","","愛知県","","55,844","57,773","60,702","61,680","63,824","65,153","64,209","66,281","67,006","68,211","68,307","68,470","69,536","68,772","67,874"
"2020000000","","2020年","0","","国籍総数","0","","総数","24000","","三重県","","11,162","11,622","12,386","12,585","13,448","13,791","13,640","14,412","14,714","15,202","15,178","15,471","15,775","15,797","15,907"
"2020000000","","2020年","0","","国籍総数","0","","総数","25000","","滋賀県","","10,329","10,862","11,498","11,771","12,331","12,806","12,741","13,309","13,299","13,639","13,658","13,568","13,855","14,026","13,677"
"2020000000","","2020年","0","","国籍総数","0","","総数","26000","","京都府","","15,901","16,859","17,553","18,051","19,309","19,356","19,536","19,869","19,915","20,746","20,727","21,016","21,536","21,430","21,661"
"2020000000","","2020年","0","","国籍総数","0","","総数","27000","","大阪府","","60,436","61,915","63,873","64,654","66,536","68,093","67,629","68,998","70,031","71,189","72,192","72,648","74,058","73,858","73,389"
"2020000000","","2020年","0","","国籍総数","0","","総数","28000","","兵庫県","","36,133","37,372","39,048","41,239","42,683","43,682","43,865","44,982","45,622","46,883","46,920","47,366","48,670","47,991","47,749"
"2020000000","","2020年","0","","国籍総数","0","","総数","29000","","奈良県","","7,777","8,542","8,903","9,168","9,781","10,179","10,020","10,671","10,812","10,965","11,075","11,246","11,552","11,760","11,820"
"2020000000","","2020年","0","","国籍総数","0","","総数","30000","","和歌山県","","5,630","5,703","6,100","6,394","6,645","7,109","6,933","7,176","7,399","7,439","7,554","7,764","7,981","7,637","7,896"
"2020000000","","2020年","0","","国籍総数","0","","総数","31000","","鳥取県","","3,731","3,934","4,174","4,264","4,491","4,568","4,514","4,727","4,709","4,888","4,663","4,802","4,919","4,884","5,062"
"2020000000","","2020年","0","","国籍総数","0","","総数","32000","","島根県","","4,400","4,696","4,848","5,079","5,373","5,609","5,533","5,537","5,663","5,762","5,800","5,697","5,889","5,900","5,855"
"2020000000","","2020年","0","","国籍総数","0","","総数","33000","","岡山県","","12,953","13,194","13,904","14,285","14,880","15,107","15,370","15,642","15,829","16,110","16,227","16,244","16,638","16,559","16,410"
"2020000000","","2020年","0","","国籍総数","0","","総数","34000","","広島県","","19,358","20,085","21,288","21,877","22,495","23,535","23,748","24,387","24,592","25,377","25,074","25,245","25,410","25,275","24,932"
"2020000000","","2020年","0","","国籍総数","0","","総数","35000","","山口県","","8,096","8,497","8,936","9,169","9,748","10,150","10,091","10,581","10,551","11,208","11,120","11,392","11,337","11,421","11,311"
"2020000000","","2020年","0","","国籍総数","0","","総数","36000","","徳島県","","4,198","4,163","4,621","4,705","4,964","5,199","5,039","5,308","5,400","5,485","5,457","5,560","5,619","5,712","5,699"
"2020000000","","2020年","0","","国籍総数","0","","総数","37000","","香川県","","6,032","6,343","6,739","7,076","7,212","7,555","7,573","7,846","8,051","7,974","8,187","8,267","8,293","8,398","8,211"
"2020000000","","2020年","0","","国籍総数","0","","総数","38000","","愛媛県","","7,785","8,193","9,038","9,288","9,614","10,028","10,236","10,643","10,886","11,111","11,191","11,256","11,582","11,492","11,421"
"2020000000","","2020年","0","","国籍総数","0","","総数","39000","","高知県","","3,929","4,169","4,515","4,603","4,693","5,035","4,903","5,176","5,175","5,144","5,357","5,428","5,533","5,645","5,641"
"2020000000","","2020年","0","","国籍総数","0","","総数","40000","","福岡県","","38,052","39,420","41,408","42,083","43,925","44,814","44,718","45,441","45,506","46,890","46,459","46,200","46,811","45,985","44,467"
"2020000000","","2020年","0","","国籍総数","0","","総数","41000","","佐賀県","","5,901","6,150","6,531","6,534","6,986","7,163","7,179","7,296","7,468","7,785","7,663","7,614","8,101","8,049","7,821"
"2020000000","","2020年","0","","国籍総数","0","","総数","42000","","長崎県","","8,883","9,486","9,883","10,191","10,675","10,903","11,109","11,246","11,497","11,537","11,598","11,686","11,891","11,760","11,958"
"2020000000","","2020年","0","","国籍総数","0","","総数","43000","","熊本県","","12,599","13,195","14,034","14,330","14,883","15,321","15,437","15,792","15,967","16,026","16,260","16,134","16,490","16,091","15,807"
"2020000000","","2020年","0","","国籍総数","0","","総数","44000","","大分県","","7,318","7,544","7,990","8,299","8,840","8,767","9,009","9,260","9,367","9,694","9,715","9,771","10,009","9,807","9,882"
"2020000000","","2020年","0","","国籍総数","0","","総数","45000","","宮崎県","","7,576","7,924","8,271","8,627","8,787","9,168","9,481","9,654","9,797","9,953","10,223","10,002","10,251","10,187","9,872"
"2020000000","","2020年","0","","国籍総数","0","","総数","46000","","鹿児島県","","10,960","11,571","12,495","12,643","13,254","13,762","13,727","14,200","14,501","14,838","14,663","14,684","14,875","14,601","14,607"
"2020000000","","2020年","0","","国籍総数","0","","総数","47000","","沖縄県","","14,715","14,850","15,514","15,592","16,663","16,611","16,296","16,809","16,840","16,861","16,746","16,670","16,657","16,389","16,033"
